,ResNet,FCN,CNN,MLP,MCDCNN,TWIESN,tLeNet,Encoder,PISD-F,PISD
Adiac,0.167,0.159,0.607,0.609,0.38,0.572,0.977,0.682,0.34,0.338
ArrowHead,0.162,0.157,0.283,0.216,0.322,0.311,0.697,0.37,0.171,0.171
Beef,0.247,0.32,0.233,0.287,0.493,0.473,0.8,0.293,0.367,0.367
BeetleFly,0.15,0.09,0.1,0.12,0.37,0.21,0.5,0.38,0.25,0.2
BirdChicken,0.12,0.06,0.29,0.26,0.46,0.38,0.5,0.49,0.35,0.35
Car,0.083,0.087,0.223,0.217,0.3,0.263,0.683,0.413,0.167,0.133
CBF,0.004,0.006,0.041,0.131,0.092,0.104,0.668,0.023,0.007,0.013
ChlorineConcentration,0.147,0.183,0.392,0.2,0.338,0.446,0.467,0.417,0.339,0.339
CinCECGTorso,0.162,0.171,0.251,0.162,0.199,0.712,0.75,0.252,0.041,0.022
Coffee,0,0,0,0.007,0.021,0.021,0.493,0.114,0,0
Computers,0.194,0.181,0.461,0.442,0.41,0.359,0.5,0.37,0.396,0.396
CricketX,0.201,0.206,0.465,0.409,0.487,0.373,0.926,0.356,0.254,0.221
CricketY,0.19,0.207,0.418,0.402,0.479,0.348,0.915,0.361,0.221,0.223
CricketZ,0.191,0.19,0.499,0.371,0.516,0.357,0.938,0.349,0.233,0.205
DiatomSizeReduction,0.699,0.654,0.046,0.091,0.354,0.086,0.699,0.12,0.056,0.056
DistalPhalanxOutlineCorrect,0.23,0.24,0.228,0.273,0.241,0.289,0.417,0.276,0.245,0.243
DistalPhalanxOutlineAgeGroup,0.282,0.282,0.242,0.353,0.271,0.295,0.567,0.239,0.217,0.217
DistalPhalanxTW,0.337,0.305,0.329,0.39,0.315,0.409,0.715,0.306,0.268,0.268
Earthquakes,0.288,0.275,0.291,0.273,0.252,0.252,0.252,0.26,0.304,0.258
ECG200,0.126,0.112,0.184,0.086,0.162,0.126,0.36,0.116,0.08,0.07
ECG5000,0.065,0.06,0.072,0.07,0.067,0.078,0.416,0.059,0.074,0.075
ECGFiveDays,0.034,0.015,0.126,0.027,0.2,0.277,0.503,0.158,0.13,0.053
ElectricDevices,0.272,0.294,0.314,0.407,0.347,0.395,0.758,0.298,0.405,0.393
FaceAll,0.133,0.062,0.226,0.206,0.28,0.327,0.92,0.206,0.241,0.241
FaceFour,0.045,0.07,0.095,0.164,0.289,0.143,0.705,0.148,0.091,0.091
FacesUCR,0.046,0.057,0.127,0.169,0.225,0.359,0.857,0.133,0.046,0.045
FiftyWords,0.26,0.354,0.376,0.292,0.389,0.482,0.875,0.342,0.207,0.196
Fish,0.019,0.039,0.145,0.152,0.28,0.122,0.874,0.266,0.114,0.109
FordA,0.063,0.086,0.104,0.184,0.137,0.445,0.49,0.072,0.241,0.206
FordB,0.187,0.228,0.251,0.293,0.302,0.488,0.497,0.223,0.314,0.312
GunPoint,0.009,0,0.052,0.072,0.093,0.011,0.507,0.216,0.027,0.013
Ham,0.242,0.293,0.28,0.301,0.282,0.232,0.486,0.318,0.39,0.467
HandOutlines,0.086,0.201,0.117,0.086,0.096,0.339,0.416,0.143,0.21,0.19
Haptics,0.49,0.51,0.625,0.575,0.601,0.59,0.792,0.606,0.604,0.604
Herring,0.4,0.356,0.469,0.509,0.428,0.375,0.406,0.488,0.438,0.438
InlineSkate,0.623,0.668,0.711,0.665,0.797,0.691,0.844,0.759,0.596,0.509
InsectWingbeatSound,0.501,0.608,0.415,0.396,0.413,0.565,0.909,0.37,0.424,0.432
ItalyPowerDemand,0.038,0.037,0.046,0.047,0.034,0.129,0.501,0.036,0.043,0.043
LargeKitchenAppliances,0.099,0.097,0.34,0.53,0.571,0.216,0.667,0.279,0.485,0.485
Lightning2,0.22,0.266,0.351,0.318,0.354,0.308,0.459,0.285,0.213,0.164
Lightning7,0.173,0.175,0.353,0.384,0.441,0.392,0.74,0.304,0.425,0.274
Mallat,0.026,0.033,0.077,0.077,0.139,0.334,0.877,0.182,0.056,0.056
Meat,0.01,0.197,0.087,0.107,0.213,0.03,0.667,0.213,0.067,0.067
MedicalImages,0.23,0.222,0.329,0.281,0.373,0.351,0.486,0.336,0.257,0.271
MiddlePhalanxOutlineCorrect,0.174,0.205,0.256,0.245,0.204,0.257,0.43,0.248,0.252,0.252
MiddlePhalanxOutlineAgeGroup,0.455,0.465,0.466,0.478,0.442,0.422,0.429,0.423,0.265,0.265
MiddlePhalanxTW,0.505,0.499,0.449,0.464,0.438,0.431,0.714,0.403,0.421,0.421
MoteStrain,0.076,0.064,0.115,0.145,0.309,0.191,0.461,0.128,0.197,0.209
NonInvasiveFetalECGThorax1,0.059,0.042,0.139,0.085,0.098,0.514,0.971,0.127,0.13,0.133
NonInvasiveFetalECGThorax2,0.056,0.047,0.104,0.082,0.09,0.483,0.971,0.101,0.118,0.098
OliveOil,0.153,0.28,0.6,0.347,0.6,0.16,0.6,0.6,0.167,0.167
OSULeaf,0.02,0.021,0.518,0.44,0.581,0.372,0.818,0.446,0.351,0.252
PhalangesOutlinesCorrect,0.155,0.182,0.201,0.244,0.205,0.344,0.387,0.255,0.248,0.245
Phoneme,0.667,0.672,0.905,0.906,0.878,0.868,0.887,0.826,0.778,0.73
Plane,0,0,0.038,0.023,0.048,0,0.857,0.036,0,0
ProximalPhalanxOutlineCorrect,0.08,0.093,0.193,0.27,0.134,0.183,0.316,0.232,0.203,0.203
ProximalPhalanxOutlineAgeGroup,0.153,0.175,0.188,0.151,0.161,0.161,0.512,0.128,0.21,0.21
ProximalPhalanxTW,0.227,0.239,0.223,0.233,0.225,0.216,0.659,0.209,0.263,0.263
RefrigerationDevices,0.47,0.503,0.563,0.623,0.609,0.49,0.667,0.539,0.536,0.504
ScreenType,0.385,0.378,0.602,0.598,0.594,0.573,0.667,0.586,0.597,0.597
ShapeletSim,0.218,0.294,0.503,0.487,0.502,0.454,0.5,0.49,0.2,0.083
ShapesAll,0.074,0.106,0.383,0.224,0.401,0.357,0.983,0.321,0.152,0.122
SmallKitchenAppliances,0.219,0.223,0.374,0.62,0.529,0.326,0.667,0.227,0.456,0.451
SonyAIBORobotSurface1,0.039,0.042,0.31,0.308,0.345,0.275,0.571,0.271,0.166,0.166
SonyAIBORobotSurface2,0.025,0.02,0.169,0.169,0.196,0.365,0.383,0.156,0.122,0.122
StarLightCurves,0.028,0.035,0.074,0.05,0.064,0.151,0.423,0.093,0.063,0.056
Strawberry,0.02,0.025,0.048,0.041,0.042,0.089,0.357,0.041,0.052,0.052
SwedishLeaf,0.037,0.033,0.116,0.155,0.159,0.163,0.936,0.098,0.086,0.085
Symbols,0.107,0.045,0.192,0.164,0.356,0.202,0.826,0.246,0.042,0.042
SyntheticControl,0.003,0.011,0.013,0.027,0.047,0.121,0.833,0.027,0.043,0.06
ToeSegmentation1,0.043,0.039,0.402,0.411,0.441,0.118,0.474,0.294,0.211,0.136
ToeSegmentation2,0.106,0.111,0.248,0.255,0.351,0.206,0.185,0.298,0.131,0.1
Trace,0,0,0.048,0.194,0.098,0.066,0.76,0.26,0.01,0.01
TwoLeadECG,0,0.001,0.123,0.247,0.194,0.051,0.5,0.216,0.078,0.077
TwoPatterns,0,0.13,0.009,0.052,0.024,0.125,0.741,0,0.009,0.006
UWaveGestureLibraryX,0.219,0.246,0.279,0.232,0.274,0.392,0.873,0.229,0.2,0.188
UWaveGestureLibraryY,0.334,0.358,0.374,0.301,0.361,0.503,0.879,0.324,0.264,0.264
UWaveGestureLibraryZ,0.251,0.273,0.37,0.303,0.355,0.427,0.879,0.316,0.267,0.264
UWaveGestureLibraryAll,0.139,0.182,0.078,0.046,0.072,0.419,0.872,0.063,0.026,0.029
Wafer,0.002,0.003,0.039,0.004,0.008,0.084,0.108,0.002,0.004,0.004
Wine,0.278,0.389,0.481,0.459,0.5,0.256,0.5,0.444,0.389,0.389
WordSynonyms,0.383,0.439,0.432,0.401,0.53,0.494,0.781,0.443,0.284,0.23
Worms,0.239,0.218,0.584,0.543,0.574,0.525,0.571,0.434,0.547,0.514
WormsTwoClass,0.252,0.257,0.449,0.392,0.41,0.444,0.429,0.317,0.359,0.354
Yoga,0.133,0.163,0.214,0.144,0.259,0.374,0.464,0.247,0.144,0.137
